epoch,lr,train_loss,val_loss,val_micro_f1,val_macro_f1,val_samples_f1,val_micro_precision,val_micro_recall
1,0.001,0.3598099113352417,0.22776265703994808,0.6227106227106227,0.14486002371316864,0.48600508905852413,0.8703071672354948,0.4847908745247148
2,0.001,0.1548751538655234,0.1646419786314928,0.7132116004296455,0.17070917345704711,0.6335877862595419,0.8197530864197531,0.6311787072243346
3,0.001,0.12408960195859826,0.12007817080002704,0.776824034334764,0.1895456958455582,0.6902035623409668,0.8916256157635468,0.688212927756654
4,0.001,0.10874590911413382,0.12698270937868658,0.76875,0.2895652593021014,0.7041984732824428,0.8502304147465438,0.7015209125475285
5,0.001,0.09842880705170977,0.1273428861421483,0.7729672650475184,0.2676938527931906,0.6978371501272264,0.8693586698337292,0.6958174904942965
6,0.001,0.08994491866473726,0.13033573670696666,0.7211328976034859,0.3360669138578761,0.6310432569974554,0.8443877551020408,0.629277566539924
7,0.001,0.08476129349899057,0.0935641000516542,0.8116545265348595,0.330746990439465,0.7436386768447837,0.896551724137931,0.7414448669201521
8,0.001,0.08158966948324375,0.08966264538182557,0.8260427263479145,0.39973752943022417,0.7729007633587787,0.888402625820569,0.7718631178707225
9,0.001,0.07911140761272223,0.0799777798980247,0.8470824949698189,0.4091378053161347,0.8021628498727736,0.8995726495726496,0.8003802281368821
10,0.001,0.07310850335787517,0.09376216787873333,0.8104838709677419,0.3531727005659747,0.7665394402035622,0.8626609442060086,0.7642585551330798
11,0.001,0.07239747962659371,0.10030194582374952,0.8110316649642493,0.3552454644219537,0.7563613231552162,0.8763796909492274,0.7547528517110266
12,0.001,0.07036167610096629,0.08023871344919423,0.8421052631578947,0.4911233460417135,0.7900763358778626,0.9004329004329005,0.7908745247148289
13,0.001,0.06882165839290989,0.3214341381578955,0.2909090909090909,0.25079311612479926,0.19592875318066155,0.45901639344262296,0.21292775665399238
14,0.001,0.06704575935934491,0.0833865006006401,0.8285123966942148,0.4690570064747795,0.7646310432569974,0.9072398190045249,0.7623574144486692
15,0.001,0.06446391328516624,0.07102030856918742,0.8580060422960725,0.4943680048722256,0.8110687022900763,0.9122055674518201,0.8098859315589354
16,0.001,0.06460124480214413,0.06346956083110271,0.8967551622418879,0.5756155106126695,0.8676844783715012,0.9287169042769857,0.8669201520912547
17,0.001,0.062192798562796206,0.0713999388554624,0.8693918245264207,0.5442963359384253,0.8295165394402035,0.9140461215932913,0.8288973384030418
18,0.001,0.06046939996382617,0.06329236446901132,0.8932419196865817,0.60189067686057,0.8676844783715012,0.9212121212121213,0.8669201520912547
19,0.001,0.0615768714263163,0.07143650744252532,0.8788177339901477,0.5798583757980107,0.8498727735368956,0.9120654396728016,0.8479087452471483
20,0.001,0.06086559282906271,0.1183223238655629,0.7738589211618258,0.5108132712976895,0.7111959287531806,0.8515981735159818,0.7091254752851711
21,0.001,0.058162625938138535,0.07151241634638254,0.8759842519685039,0.5393252722156519,0.8460559796437659,0.9081632653061225,0.8460076045627376
22,0.001,0.057880458980493744,0.22918796675805828,0.5106861642294713,0.3766625101458679,0.42938931297709926,0.6253443526170799,0.43155893536121676
23,0.001,0.0570004062297839,0.08300977035333182,0.8554455445544554,0.5698341351865683,0.8231552162849872,0.8925619834710744,0.8212927756653993
24,0.001,0.058758140287338785,0.0718582117830524,0.880859375,0.5967852923243978,0.8600508905852416,0.9056224899598394,0.8574144486692015
25,0.001,0.055303836789560086,0.07731694381200631,0.8537549407114624,0.4997234797915029,0.8225190839694656,0.8888888888888888,0.8212927756653993
26,0.001,0.057810928722873266,0.06432764852092467,0.8923679060665362,0.5826564177377898,0.8683206106870229,0.9193548387096774,0.8669201520912547
