epoch,lr,train_loss,val_loss,val_macroF1
1,0.001,2.0700357409222323,1.982331483418705,0.2638862907249833
2,0.001,1.517653606877774,1.6878346541455684,0.28991631565765996
3,0.001,1.2079605188615685,2.77444897717192,0.21469699325812702
4,0.001,0.9707874726722145,1.4121949326901035,0.3742259779859038
5,0.001,0.8854367321893127,9.21069514296437,0.027458261819316588
6,0.001,0.8324483451763236,3.000633931341972,0.25398578294703056
7,0.001,0.7401079128279434,10.836862345688216,0.02796705154210225
8,0.001,0.8049986440531308,0.8482249656706365,0.5476365407329742
9,0.001,0.719454459294012,3.872393979371049,0.24902271368349654
10,0.001,0.6636879928181321,0.5942562918626625,0.6070765105546836
11,0.001,0.6828203057344946,0.8244606661432572,0.517041598175577
12,0.001,0.6676335673911914,1.144819430722535,0.3143597035549622
13,0.001,0.6749372993440741,2.9338768402128728,0.28493325800530206
14,0.001,0.6592231579994111,0.7481409456893688,0.5761725078443508
15,0.0005,0.636804654468438,0.6217875594401178,0.6489223539969121
16,0.0005,0.5802996370863631,0.5308858711300916,0.6762217716602493
17,0.0005,0.594278772883468,0.4916298387159828,0.6859984534037247
18,0.0005,0.5681759689218238,0.5709317315170783,0.659294014343465
19,0.0005,0.5533094560690117,1.1425777418922831,0.47589294556175216
20,0.0005,0.5568072121442462,0.4998375302507677,0.7019198883860654
21,0.0005,0.5255936968536392,0.49415832280202676,0.7182027562712701
22,0.0005,0.5578185346738461,2.6481715650048874,0.40221186274964815
23,0.0005,0.5650768259534863,0.622847722686884,0.6507498045791925
24,0.0005,0.5685460168076889,0.5655991089253025,0.6731370839346894
25,0.0005,0.4874299212015412,0.6418958711260148,0.6321331791373602
26,0.00025,0.5045101655295673,0.512664222080289,0.6655413967958725
27,0.00025,0.4800950246563809,0.531618295280078,0.7117881925216751
28,0.00025,0.48980160170386083,0.45994419996975033,0.7227922656895037
29,0.00025,0.473128889629795,0.5027869348307602,0.6875509403542466
30,0.00025,0.48956731228959205,0.5130838294520633,0.7099162146771103
31,0.00025,0.4579048395108064,0.5019778679800397,0.6749973772632607
32,0.00025,0.46810687634967363,0.5087662364235361,0.7089236560913605
33,0.000125,0.461426351214841,0.4669883667512704,0.7079435741173984
34,0.000125,0.45866180015205604,0.4457526145545581,0.7343607484560841
35,0.000125,0.42811301157238346,0.4864387687380987,0.7129329264563687
36,0.000125,0.45427321691128547,0.4612867943658174,0.7304797966753511
37,0.000125,0.46500137364137284,0.46742325634446763,0.7166348611585306
38,0.000125,0.44347607553297996,0.46006248584230436,0.7243665462311604
39,6.25e-05,0.4369752299722179,0.44263027210271993,0.738423662798607
40,6.25e-05,0.43326702480964174,0.450974975833456,0.7270828684008488
41,6.25e-05,0.42942209041635865,0.43604226444513744,0.7406864777155638
42,6.25e-05,0.44418088113412574,0.42674361112463566,0.7462758516208561
43,6.25e-05,0.4408294036892951,0.4492035942678233,0.7352243636769512
44,6.25e-05,0.4217938249637199,0.44230890660795547,0.7402116783346947
45,6.25e-05,0.4225675669596715,0.44082364439964294,0.7482703732157728
46,6.25e-05,0.44700422474364987,0.43684218607786046,0.7248759885457606
47,6.25e-05,0.42149498079138314,0.42628199271573364,0.744578133408008
48,6.25e-05,0.4509497514780652,0.4550733591309031,0.7223961585886172
49,6.25e-05,0.42312043212351136,0.44685694279561516,0.730767993959857
50,3.125e-05,0.40466430517332114,0.43670861593639576,0.7454008175804805
51,3.125e-05,0.4240877044723017,0.4355968507646604,0.7474290951482426
52,3.125e-05,0.4432534422608023,0.44033437739801773,0.7387686537451711
