feature
area
y_max
y_min
y_mean
y_std
symmetry_l1
fill_factor
skewness
kurtosis_excess
slope_first_half
slope_second_half
inflection_count
fft_mag_1
fft_mag_2
fft_mag_3
fft_mag_4
fft_mag_5
